Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy pre0tal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly fi0nced pre0tal care, 2005-2008","% teen births, 2005-2008",
Abington,16305,4235,2052,23380,1828,12.69,91.06,17.22,5,5.73,8.16,6.77,23.03,2.29,
Acton,20539,6144,1693,41901,1375,6.81,82.59,15.93,3,3.91,6.78,5.21,10.22,0.65,
Acushnet,10535,2570,1495,21753,1687,16.63,86.76,12.47,1,0,5.82,1.66,24.21,4.43,
Adams,8456,1890,1733,18572,2676,30.6,81.29,13.08,0,0,10.47,4.07,53.96,10.47,
Agawam,28547,6439,4704,22562,4317,15.81,83.24,11.53,2,1.8,5.22,5.31,28.81,3.87,
Alford,400,78,63,40412,50,12.79,55.56,0,0,0,0,0,0,0,
Amesbury,16617,4553,2003,24103,2988,18.65,90.42,14.07,4,4.97,8.47,6.96,21.58,5.47,
Amherst,34721,9784,2215,17427,8246,36.78,84.62,10.47,0,0,5.37,2.54,31.49,4.8,
Andover,32838,9567,3986,41133,2787,9.01,87.86,18.9,5,4.35,7.23,6.79,7.05,0.87,
Aquinnah,362,84,32,21420,118,32.42,91.67,0,0,0,0,0,45.45,0,
Arlington,41273,7955,7032,34399,4988,11.82,89.38,12.62,5,2.19,6.25,5.27,7.41,0.7,
Ashburnham,5970,1789,498,21659,1002,18.22,90.16,11.81,0,0,5.88,3.14,19.2,5.1,
Ashby,2926,895,280,21648,426,15.1,87.12,15.15,1,0,7.58,6.06,21.09,8.33,
Ashfield,1824,413,210,26483,289,16.1,78,16,0,0,0,11.76,19.61,0,
Ashland,15431,4036,1516,31641,1479,10.11,88.74,16.93,2,1.96,7.24,4.89,14.09,1.56,
Athol,11690,3111,1945,16845,3496,31.79,82.99,8.99,1,1.83,7.34,2.75,44.94,10.28,
Attleboro,43364,11164,5343,22660,7757,18.79,82.22,14.43,6,2.56,7.38,4.99,22.61,5.16,
Auburn,16393,3789,2831,23802,2085,13.25,83.23,12.32,3,4.8,6.08,2.88,11.49,4.48,
Avon,4345,1071,737,24410,901,20.28,87.96,21.35,1,0,10.42,10.94,20.42,0,
Ayer,7212,1952,896,26400,1450,20.51,78.38,14.63,3,0,10.32,6.83,20.59,4.39,
Barnstable,47902,10465,9525,25554,10408,22.05,85.51,12.89,9,4.81,6.09,4.22,47.68,6.2,
Barre,5375,1544,653,20476,923,18.08,75,13.82,2,0,7.37,2.76,31.02,5.53,
Becket,1783,418,228,21861,357,20.55,75.76,10.29,0,0,0,0,41.79,13.04,
Bedford,12486,2995,2307,39212,722,5.99,87.65,19.68,4,7.91,7.39,2.96,8.22,1.38,
Belchertown,13897,3656,1248,21938,2200,17.01,87.32,13.54,1,1.57,8.03,4.72,21.24,2.52,
Bellingham,15735,4531,1506,25047,1438,9.41,88.27,16.04,3,3.5,7.12,5.37,12.96,3.03,
Belmont,23453,5487,3959,42485,2314,9.69,91.32,13.49,4,3.57,8.21,8.47,7.89,0.71,
Berkley,6352,1952,394,21652,587,10.27,83.33,14.17,0,0,6.98,4.63,17.7,4.63,
Berlin,2683,679,312,28915,338,14.23,82,15,0,0,9,7,13,0,
Bernardston,2237,490,346,20959,407,18.9,88.52,19.35,0,0,0,0,20.97,0,
Beverly,39833,9530,6202,28626,6264,16.62,90.64,14.52,5,2.92,6.47,4.8,23.71,2.11,
Billerica,39812,10953,3341,24953,4178,11.09,83.77,16.96,6,3.3,7.59,5.12,12.63,2.59,
Blackstone,9051,2585,872,20936,1170,13.35,92.19,17.34,2,0,8.29,3.02,30.88,9.05,
Blandford,1266,309,114,24285,195,16.1,76.67,30,1,0,0,0,26.67,0,
Bolton,4428,1313,256,42542,199,4.82,83,15.5,0,0,9,7,0,0,
Boston,558435,131435,59950,23353,207584,37.15,84.21,11.6,192,6.13,9.37,3.89,46.09,7.42,
Bourne,19355,4333,3330,22092,3747,21.14,83.18,13.63,2,2.53,6.75,5.06,32.9,5.44,
Boxborough,5032,1561,240,40794,318,6.53,85.87,14.05,1,0,5.95,7.57,10.44,0,
Boxford,8162,2648,746,48846,246,3.11,91.48,24.78,0,0,4.8,5.19,2.64,0,
Boylston,4253,1021,486,32274,370,9.24,82.81,13.54,0,0,10.42,14.06,3.66,0,
Braintree,33658,8146,6035,28683,3427,10.38,90.65,16.14,7,4.41,6.93,4.85,18.2,2.14,
Brewster,10242,2122,2746,24638,1624,16.84,84.13,14.29,2,0,5.13,6.57,25.27,3.65,
